"Gene","Direction"
"117145_at","DOWN"
"387712_at","DOWN"
"145567_at","UP"
"692200_at","DOWN"
"51428_at","UP"
"5514_at","DOWN"
"2752_at","DOWN"
"54622_at","DOWN"
"29803_at","UP"
"1453_at","UP"
"8477_at","UP"
"100126780_at","DOWN"
"55756_at","UP"
"220359_at","DOWN"
"285600_at","DOWN"
"10859_at","UP"
"7165_at","UP"
"101926971_at","DOWN"
"51645_at","UP"
"4946_at","UP"
"5886_at","UP"
"6902_at","DOWN"
"3487_at","UP"
"10525_at","UP"
"51307_at","UP"
"126308_at","UP"
"283480_at","DOWN"
"51574_at","DOWN"
"283518_at","DOWN"
"91782_at","UP"
"9784_at","UP"
"6598_at","UP"
"57103_at","UP"
"4752_at","DOWN"
"57190_at","UP"
"4839_at","UP"
"158293_at","UP"
"11259_at","DOWN"
"85014_at","UP"
"4669_at","UP"
"7174_at","DOWN"
"283417_at","DOWN"
"2520_at","DOWN"
"84065_at","UP"
"56916_at","DOWN"
"407019_at","DOWN"
"1186_at","UP"
"2533_at","UP"
"8879_at","UP"
"9114_at","UP"
"53353_at","DOWN"
"349633_at","DOWN"
"100506606_at","DOWN"
"85388_at","DOWN"
"57171_at","UP"
"693122_at","DOWN"
"677830_at","DOWN"
"7706_at","UP"
"2086_at","DOWN"
"226_at","UP"
"116541_at","UP"
"23405_at","DOWN"
"337873_at","DOWN"
"23144_at","UP"
"25925_at","DOWN"
"7052_at","UP"
"7181_at","DOWN"
"22877_at","UP"
"23390_at","DOWN"
"220729_at","DOWN"
"6786_at","UP"
"6522_at","UP"
"646300_at","DOWN"
"1774_at","UP"
"339324_at","UP"
"976_at","UP"
"6388_at","UP"
"402_at","UP"
"9230_at","UP"
"537_at","UP"
"143384_at","UP"
"100127888_at","DOWN"
"11264_at","UP"
"9097_at","UP"
"1654_at","DOWN"
"10244_at","UP"
"57465_at","UP"
"55749_at","DOWN"
"283209_at","UP"
"102723809_at","DOWN"
"23670_at","DOWN"
"23331_at","UP"
"89978_at","DOWN"
"101927184_at","DOWN"
"101928020_at","DOWN"
"10208_at","DOWN"
"9657_at","DOWN"
"595100_at","DOWN"
"84861_at","UP"
"94162_at","DOWN"
"100132594_at","DOWN"
"100113384_at","DOWN"
"79473_at","DOWN"
"161142_at","DOWN"
"8019_at","UP"
"1874_at","UP"
"64837_at","UP"
"587_at","UP"
"3895_at","DOWN"
"9759_at","UP"
"140803_at","DOWN"
"57035_at","DOWN"
"118491_at","DOWN"
"56931_at","UP"
"54471_at","UP"
"100506860_at","DOWN"
"6231_at","UP"
"6182_at","UP"
"28952_at","UP"
"5460_at","DOWN"
"101927944_at","DOWN"
"6405_at","UP"
"126859_at","DOWN"
"100130557_at","DOWN"
"10018_at","DOWN"
"101929577_at","DOWN"
"5533_at","DOWN"
"84717_at","UP"
"11185_at","UP"
"896_at","UP"
"100033430_at","DOWN"
"100616432_at","DOWN"
"6655_at","DOWN"
"9919_at","UP"
